-0.39462727, 0.39887255;-0.3935, 0.3985
0.400778, 0.10336139;0.4006, 0.1032
-0.095033295, -0.096429445;-0.0971, -0.0981
0.395103, 0.09890122;0.3946, 0.0983
0.09533889, -0.2999979;0.095, -0.3002
-0.2510141, 0.25157088;-0.2516, 0.2499
0.19815348, 0.29633394;0.1985, 0.2977
0.40019792, 0.10043393;0.3996, 0.0998
-0.100914925, -0.10711771;-0.1032, -0.1093
0.10223395, -0.301908;0.1024, -0.3022
-0.24771069, 0.25086537;-0.2492, 0.2492
-0.24829459, 0.25212845;-0.2496, 0.2507
-0.10096839, -0.1011396;-0.103, -0.1028
-0.29584384, -0.29566088;-0.2953, -0.297
0.20125644, -0.20080158;0.2018, -0.2008
0.40310764, 0.101598315;0.4032, 0.1011
-0.10048539, -0.101432584;-0.1026, -0.1031
0.19520436, 0.29957426;0.196, 0.3005
-0.40477628, 0.39994135;-0.4025, 0.4001
0.09789242, -0.2971796;0.0976, -0.2964
-0.2935821, -0.30165547;-0.2933, -0.3016
0.09795134, -0.29954764;0.098, -0.2992
0.10071452, -0.29650372;0.1008, -0.2957
0.3937327, 0.097302675;0.3932, 0.0965
0.40306073, 0.09499186;0.4028, 0.094
-0.30187234, -0.2979685;-0.3016, -0.299
-0.096808374, -0.094915904;-0.0987, -0.097
0.19742836, -0.19730479;0.199, -0.1981
0.20158593, -0.19949886;0.2024, -0.1997
0.40183282, 0.09943289;0.402, 0.0988
-0.3009607, -0.30185133;-0.3007, -0.3019
0.20463972, -0.19946592;0.2051, -0.1996
0.20602997, 0.29317272;0.2059, 0.294
-0.2450148, 0.24647261;-0.2465, 0.2447
0.10087161, -0.2966889;0.101, -0.296
0.003583798, 0.0055517415;0.0027, 0.0085
-0.24350809, 0.2478807;-0.2448, 0.2459
0.4018064, 0.0980056;0.402, 0.0969
0.39942697, 0.09739987;0.3992, 0.0966
-0.40335178, 0.40673146;-0.4017, 0.4052
0.39915907, 0.098457694;0.3989, 0.0976
0.4015602, 0.10100469;0.4017, 0.1004
-0.3939445, 0.39706263;-0.3927, 0.3975
-0.39726037, 0.39869803;-0.3964, 0.3991
0.20116135, -0.20170577;0.2017, -0.2014
-0.09429723, -0.10292303;-0.0965, -0.1048
0.39909297, 0.09760611;0.3989, 0.0969
0.09992521, -0.30035728;0.1, -0.3003
-0.40937537, 0.3961846;-0.406, 0.3967
0.001551177, -0.007321976;6.0E-4, -0.0048
0.40014765, 0.10221497;0.3999, 0.1018
-0.24908844, 0.249998;-0.2503, 0.2485
-7.438288E-4, -0.0014875499;-0.0018, 1.0E-4
-0.24677363, 0.2520002;-0.2487, 0.2505
-0.10353012, -0.09981203;-0.1056, -0.1016
0.0993934, -0.30272636;0.0998, -0.3027
-0.30503413, -0.2964005;-0.3054, -0.2971
0.40272635, 0.1085379;0.4025, 0.1084
0.40130675, 0.10346575;0.401, 0.1033
0.19840433, -0.2068325;0.1989, -0.2069
-0.30256256, -0.30330098;-0.3026, -0.3034
0.19820225, 0.30398;0.1984, 0.3049
0.19892357, -0.19881319;0.2001, -0.1993
0.0049323468, -0.0022594708;0.0036, -3.0E-4
-0.25442925, 0.2487788;-0.255, 0.2472
0.09753142, -0.2943121;0.0976, -0.2936
0.0064588618, 0.00536656;0.0052, 0.0079
-0.099506654, -0.10166105;-0.1017, -0.1035
0.10205205, -0.30664292;0.1026, -0.3065
-0.3004842, -0.300126;-0.3001, -0.3009
0.20101903, 0.2969676;0.2008, 0.2982
-0.09871032, -0.09594355;-0.1012, -0.0975
-0.4007416, 0.19454065;-0.4009, 0.1935
0.10141506, -0.3007304;0.1019, -0.3008
-0.40266785, 0.400257;-0.4005, 0.4003
0.09344548, -0.2973709;0.0934, -0.2972
0.19736132, -0.19946668;0.1988, -0.2002
0.19585864, -0.19875196;0.1975, -0.1996
-0.2966326, -0.30019337;-0.2958, -0.3006
-0.29832757, -0.30123484;-0.2975, -0.3015
0.003499025, -4.3866373E-4;0.0026, 0.0017
-0.40162128, 0.4006569;-0.3998, 0.4005
-0.30150905, -0.29696175;-0.3014, -0.2978
-0.39713472, 0.19640732;-0.3985, 0.1951
0.09552622, -0.29953378;0.0954, -0.2994
7.812099E-4, 0.005450991;-6.0E-4, 0.0086
0.39863244, 0.09682409;0.3987, 0.096
-0.101959825, -0.09678164;-0.1039, -0.0982
0.20318896, -0.1906852;0.204, -0.1909
-0.29835752, -0.30535552;-0.2978, -0.3049
-0.40210876, 0.3975411;-0.4, 0.3978
-0.29507408, -0.30533677;-0.295, -0.3044
-0.40252203, 0.20360216;-0.4028, 0.2024
0.1988684, 0.30456904;0.199, 0.3054
0.40150985, 0.09672936;0.4014, 0.0956
-0.40066504, 0.20010945;-0.4011, 0.1989
-0.10236395, -0.09981595;-0.1044, -0.1015
0.40265808, 0.09595363;0.4026, 0.0948
-8.764824E-4, -0.0031083354;-0.0019, -0.0011
-0.10511824, -0.09603591;-0.1068, -0.0978
-0.39787284, 0.39865705;-0.3969, 0.3989
0.40606356, 0.10382471;0.4059, 0.1034
-0.40107438, 0.19859894;-0.4015, 0.1969
-0.24974503, 0.24971867;-0.2507, 0.2483
-0.24748388, 0.25276044;-0.2493, 0.2515
-0.40269396, 0.4000981;-0.4006, 0.4002
0.19741018, -0.20004642;0.1988, -0.2007
0.19865145, -0.20072283;0.1996, -0.2011
0.10430273, -0.30147073;0.1049, -0.3017
-0.29348204, -0.3004341;-0.2931, -0.3009
-0.39920548, 0.19719075;-0.4001, 0.1959
-0.097676784, -0.10202158;-0.0994, -0.1039
0.107963264, -0.29358548;0.1085, -0.2932
0.1979669, 0.29890177;0.1983, 0.2999
-0.4006301, 0.19753277;-0.4011, 0.1959
-0.40034062, 0.2027723;-0.4008, 0.2018
0.39740914, 0.09644541;0.3972, 0.0958
0.20097663, 0.2992161;0.2007, 0.2999
-0.39903152, 0.20368789;-0.3997, 0.2025
0.3977515, 0.099281505;0.3978, 0.0987
0.40113345, 0.09981007;0.4012, 0.0992
0.20025124, -0.19900002;0.2011, -0.1994
0.103439435, -0.30185968;0.1038, -0.3021
-0.24858637, 0.24574086;-0.2497, 0.2439
-0.39403352, 0.40544876;-0.3939, 0.4037
-0.24681553, 0.2541556;-0.2488, 0.253
-8.524637E-5, 8.6127676E-4;-0.0011, 0.003
-0.29952103, -0.30339313;-0.2991, -0.3034
0.1942046, -0.19885948;0.1957, -0.1995
0.20533733, -0.1987979;0.2056, -0.199
-0.30057853, -0.2995074;-0.3, -0.3003
-0.3973662, 0.4040011;-0.3965, 0.4028
-0.09796183, -0.101096146;-0.0995, -0.1028
-0.39933357, 0.20230018;-0.3998, 0.2013
0.20454818, 0.30691156;0.2051, 0.3082
-0.3993838, 0.39336953;-0.3982, 0.3938
0.39655864, 0.10762882;0.3959, 0.1077
0.20329152, 0.30236003;0.2033, 0.3031
0.19225457, -0.19766018;0.1941, -0.1986
-0.39673764, 0.39864987;-0.3959, 0.399
0.39716858, 0.10420626;0.3968, 0.1038
-0.10508635, -0.10069026;-0.1071, -0.1026
0.10099428, -0.30044207;0.1013, -0.3005
0.4002716, 0.10005077;0.3997, 0.0995
-0.25707814, 0.2570111;-0.2588, 0.2578
-0.100531414, -0.103695005;-0.1025, -0.1057
0.39912766, 0.09457284;0.3992, 0.0938
-0.39658725, 0.20419458;-0.3973, 0.203
0.20064877, 0.30250502;0.2006, 0.3034
0.20131506, -0.20252639;0.2019, -0.2022
-0.25650564, 0.25034338;-0.2572, 0.2489
-0.4015531, 0.401853;-0.3997, 0.4014
0.40115505, 0.1059084;0.401, 0.1058
-0.30330765, -0.29572976;-0.3033, -0.2966
0.10122393, -0.2973571;0.1012, -0.2966
0.20379663, -0.20162088;0.2043, -0.2014
-0.30386102, -0.29740122;-0.3038, -0.2982
-0.09490647, -0.10612435;-0.0969, -0.1083
0.19675052, -0.19663787;0.1983, -0.1973
0.09554872, -0.29771066;0.0954, -0.2974
-0.29932255, -0.3086975;-0.2997, -0.3081
-0.39380604, 0.39658782;-0.3925, 0.3971
0.20173697, 0.29294458;0.2018, 0.2942
0.103453875, -0.2944808;0.1039, -0.2936
-0.4054385, 0.4005495;-0.403, 0.4004
0.4009711, 0.09534123;0.4012, 0.0944
-0.003328152, 0.0025604924;-0.0046, 0.0052
0.20780788, 0.29968327;0.2083, 0.301
-0.097123995, -0.09793119;-0.0988, -0.0996
0.0022571331, -0.0012246901;0.001, 7.0E-4
-0.30109748, -0.29730365;-0.3006, -0.2985
0.20082031, 0.29712877;0.2007, 0.2983
3.8536E-5, 1.9964129E-4;-0.0011, 0.0023
-0.1018558, -0.09273946;-0.104, -0.0947
-0.25116622, 0.2514639;-0.2517, 0.2498
0.4035688, 0.098815925;0.4039, 0.0982
-0.4066264, 0.40482196;-0.4043, 0.4042
-0.39865157, 0.4006431;-0.3977, 0.4004
-0.4017401, 0.39690277;-0.3997, 0.3974
-8.492575E-4, 3.8476946E-4;-0.0018, 0.0024
0.20138621, -0.20005314;0.2022, -0.2
0.0033236726, -0.0011127444;0.0021, 8.0E-4
0.0012922646, -0.0010133014;3.0E-4, 0.001
-0.39797753, 0.20328742;-0.3985, 0.2022
0.20851377, 0.29873857;0.2089, 0.3003
0.20157927, 0.3056847;0.2015, 0.3063
-0.102057405, -0.10841128;-0.1037, -0.1106
-0.0020347715, 0.0051833615;-0.003, 0.0082
0.19326586, 0.3003983;0.1939, 0.3019
-0.39449292, 0.19601531;-0.3957, 0.1948
-0.25123596, 0.25245488;-0.2519, 0.2509
0.1972015, 0.29945406;0.1976, 0.3003
-0.3974441, 0.20323907;-0.3982, 0.2021
0.19942667, -0.19748893;0.2003, -0.1983
0.09430091, -0.30053332;0.0941, -0.3006
0.19721988, -0.20359795;0.1976, -0.2039
-0.10265784, -0.10274389;-0.1045, -0.1048
0.09748493, -0.29756206;0.0972, -0.297
-0.40014282, 0.40159756;-0.399, 0.4012
0.202343, -0.20056157;0.2028, -0.2005
-0.2524999, 0.2451737;-0.2532, 0.2434
0.10087069, -0.29976326;0.1011, -0.2995
-0.0051800744, 0.0010744343;-0.0064, 0.0036
-0.3945059, 0.19955586;-0.3955, 0.1987
0.0036656596, 0.0030240421;0.003, 0.005
0.1054386, -0.29893965;0.1059, -0.2985
0.20031817, -0.20510387;0.2006, -0.2051
-0.2969546, -0.29767582;-0.2963, -0.2986
0.4029415, 0.101156734;0.4031, 0.1005
-0.09699479, -0.10397984;-0.0991, -0.1058
0.20546985, -0.20074901;0.2055, -0.2008
-0.40419146, 0.39471903;-0.4015, 0.3949
0.19644947, -0.19795811;0.1982, -0.1984
-0.40703955, 0.20125799;-0.4071, 0.2003
-0.40247405, 0.19716737;-0.4022, 0.1958
-0.39944115, 0.20027377;-0.4001, 0.1992
0.19820885, -0.20383018;0.1986, -0.204
-0.00244534, -0.0013424385;-0.0032, 7.0E-4
-0.4036234, 0.20405668;-0.4043, 0.2028
-0.40315267, 0.3994082;-0.4009, 0.3995
-0.3981989, 0.19877559;-0.3993, 0.1974
-0.24922054, 0.25888997;-0.2508, 0.2577
-0.40291592, 0.3985635;-0.4006, 0.399
-0.39896905, 0.4049519;-0.3978, 0.4034
-0.245271, 0.25038224;-0.2469, 0.2487
-0.29940262, -0.3040423;-0.2988, -0.3041
0.39809585, 0.10150464;0.398, 0.1009
-0.0050332667, 0.0016002512;-0.0062, 0.0042
0.40374026, 0.09712063;0.4036, 0.0963
-0.40036878, 0.39932743;-0.399, 0.3993
0.19731893, -0.20144041;0.1984, -0.2019
-0.40235898, 0.40192875;-0.4001, 0.4015
0.39979807, 0.10071271;0.3991, 0.1001
0.402, 0.098937646;0.4023, 0.098
0.0026619192, 0.0016527397;0.0016, 0.0039
-0.24981934, 0.2450133;-0.2509, 0.2435
-0.3995028, 0.40062574;-0.3984, 0.4003
-0.10028519, -0.09904071;-0.1024, -0.1006
0.19917846, 0.30295438;0.1993, 0.3039
-0.09290771, -0.09818182;-0.0952, -0.0997
0.20650321, -0.20695046;0.2062, -0.206
-0.24693672, 0.24752702;-0.2481, 0.2459
0.20130487, 0.29912123;0.2012, 0.2998
-0.24687599, 0.2450119;-0.2481, 0.2432
0.19681826, -0.20247832;0.1978, -0.203
-0.3972109, 0.3998063;-0.3962, 0.3999
-0.09651876, -0.10061667;-0.0984, -0.1021
-0.25851154, 0.24664943;-0.259, 0.2452
0.20358306, -0.19812523;0.2041, -0.1987
0.0979026, -0.30158797;0.0977, -0.3016
-0.09703606, -0.10002098;-0.0988, -0.1018
0.19494408, -0.20087375;0.1966, -0.2021
0.104140274, -0.3003261;0.1044, -0.3004
0.3962618, 0.100974046;0.396, 0.1007
-0.29874137, -0.30547756;-0.2984, -0.3051
-0.39531493, 0.40903378;-0.395, 0.4061
-0.2963873, -0.30938804;-0.2962, -0.3089
0.20215863, 0.30427763;0.2022, 0.3052
-0.40222985, 0.19956256;-0.4025, 0.1981
0.20431376, 0.29850027;0.2042, 0.2995
-8.5173396E-4, 0.0031759532;-0.002, 0.0054
0.40511197, 0.10335067;0.4051, 0.1028
-0.09763196, -0.10482589;-0.0997, -0.1068
0.20054819, 0.2962484;0.2004, 0.2977
-0.3991984, 0.39878967;-0.3982, 0.3989
0.20387177, -0.19242592;0.205, -0.1926
0.19838557, 0.30771348;0.1987, 0.3082
-0.4006233, 0.20255637;-0.4011, 0.2015
0.09688424, -0.30111894;0.0965, -0.3013
0.39911753, 0.10268575;0.3987, 0.1022
0.09350131, -0.29879746;0.0931, -0.2987
-0.100308836, -0.101039454;-0.1024, -0.1027
-0.29901236, -0.29938218;-0.2983, -0.2999
-0.40559375, 0.40126777;-0.4031, 0.4009
0.10514757, -0.2961886;0.1056, -0.2951
8.32183E-4, 0.004912403;-5.0E-4, 0.008
0.4018203, 0.099852964;0.402, 0.0991
-0.24871221, 0.2504868;-0.2499, 0.2487
-0.30290696, -0.29957792;-0.3028, -0.3002
0.10592368, -0.2963139;0.1068, -0.2956
-0.103635125, -0.10006154;-0.1056, -0.1016
0.20068583, -0.19778821;0.2016, -0.1983
0.20056708, 0.30463326;0.2007, 0.3054
-0.24717753, 0.24825893;-0.2486, 0.2469
0.097265154, -0.30121553;0.0971, -0.3014
-0.3990926, 0.39851567;-0.3983, 0.3987
0.19970517, -0.20113713;0.2003, -0.2013
-0.29982978, -0.30214816;-0.2994, -0.3023
-0.3993981, 0.19438016;-0.4003, 0.1932
0.20228453, -0.19563831;0.203, -0.1963
-0.4005624, 0.40411225;-0.3992, 0.4028
0.10215684, -0.30591694;0.1026, -0.306
0.19544221, 0.30044574;0.1962, 0.3014
0.098717436, -0.2979185;0.0989, -0.2975
-0.10253485, -0.09957239;-0.1048, -0.1013
0.20265514, -0.19544464;0.2035, -0.196
0.20232067, 0.29972026;0.2026, 0.3003
0.19928564, -0.19475864;0.2004, -0.1957
-0.30125678, -0.29745716;-0.301, -0.2986
0.0019724478, 0.008182666;5.0E-4, 0.0109
-0.40094116, 0.19680136;-0.4013, 0.1954
-0.29285532, -0.29726487;-0.2926, -0.2985
-0.40241286, 0.3950008;-0.4006, 0.3951
0.20611812, 0.30114087;0.2066, 0.3021
-0.25019166, 0.25159296;-0.251, 0.2499
0.40107077, 0.0996419;0.4012, 0.099
-0.10171994, -0.098055005;-0.1036, -0.0998
0.19360425, -0.20197988;0.1954, -0.2029
-2.0152343E-4, 0.0021030116;-0.0014, 0.004
0.09836465, -0.29651338;0.0982, -0.2958
0.3974221, 0.09932306;0.3974, 0.0988
-0.098181464, -0.09918917;-0.1003, -0.1006
0.20172438, 0.2999216;0.2018, 0.3006
-0.30355582, -0.30341938;-0.3041, -0.3038
-0.29974973, -0.300413;-0.2994, -0.3009
-0.40261108, 0.20124681;-0.4028, 0.2
-0.100404814, -0.09608931;-0.1023, -0.0972
0.20187937, 0.30449405;0.2019, 0.3052
0.19853455, -0.20431295;0.199, -0.2046
0.39420372, 0.10583848;0.3942, 0.1059
0.10036816, -0.3008305;0.1006, -0.3011
0.40147552, 0.10238486;0.4013, 0.1024
-0.24567254, 0.24972367;-0.2472, 0.2479
-0.30342582, -0.3013438;-0.3038, -0.3021
0.20370334, 0.29998332;0.2038, 0.3009
-0.40461224, 0.3940222;-0.4017, 0.3943
-0.29498678, -0.29791757;-0.2944, -0.299
0.20112765, 0.3013456;0.2011, 0.3025
0.1916538, 0.30456805;0.1925, 0.3058
-0.40078864, 0.19858553;-0.4014, 0.1971
0.20087668, -0.19835158;0.2017, -0.1989
-0.39483136, 0.19777805;-0.3958, 0.1969
-0.40143144, 0.1967379;-0.4016, 0.1954
0.094939366, -0.30273077;0.0947, -0.3023
6.103293E-5, 0.005207515;-0.0012, 0.0082
-0.25008285, 0.24759318;-0.2509, 0.2463
-0.3995154, 0.4009566;-0.3982, 0.4006
0.20576711, -0.20069453;0.2059, -0.2007
-0.001304448, -0.0010594706;-0.0024, 9.0E-4
0.19830257, -0.19878188;0.1997, -0.1994
-0.39965922, 0.1964684;-0.4005, 0.1949
0.40083024, 0.102343895;0.4006, 0.1022
0.3967241, 0.103842705;0.3964, 0.1035
0.40691015, 0.10284882;0.4068, 0.1023
-0.007428244, -0.0012393332;-0.0085, 8.0E-4
-0.39966187, 0.19184354;-0.4006, 0.1915
0.39764196, 0.103824586;0.397, 0.1034
0.0033912659, -0.0062703304;0.0019, -0.0035
-0.0027869977, 0.0030784816;-0.0043, 0.0056
0.1957324, 0.3007884;0.1962, 0.3018
-0.25508678, 0.2498296;-0.2558, 0.2483
0.2075288, -0.19947328;0.2071, -0.1996
-0.39292854, 0.39642674;-0.3919, 0.397
-0.0033808674, 0.0050232136;-0.0048, 0.0078
0.102135174, -0.30049494;0.1025, -0.3004
0.2001663, 0.29776078;0.2, 0.2987
-0.4061542, 0.39619693;-0.4032, 0.3966
-0.25062314, 0.24991623;-0.2513, 0.2484
-0.29602754, -0.30313227;-0.2957, -0.303
-0.10313618, -0.09946008;-0.1051, -0.1013
0.19926731, 0.30600747;0.1994, 0.3065
-0.29941002, -0.30334067;-0.299, -0.3034
-0.40398386, 0.39654124;-0.4018, 0.3967
-0.10264662, -0.10179932;-0.1048, -0.1035
-0.096369185, -0.09689935;-0.0983, -0.0987
0.002688634, -3.5393098E-4;0.0016, 0.0015
9.920287E-4, -0.0012091412;1.0E-4, 5.0E-4
0.09856417, -0.29922697;0.0985, -0.299
-0.25182495, 0.2545344;-0.2529, 0.2538
0.19664805, 0.30281034;0.1969, 0.3037
-0.29853135, -0.30148035;-0.2977, -0.3016
-0.0977161, -0.103164285;-0.0995, -0.1052
-0.0031557563, 0.0040931944;-0.0044, 0.0068
-0.39976835, 0.39985764;-0.3986, 0.3998
0.0037952329, 4.4546367E-5;0.0027, 0.0022
-0.29750553, -0.2969625;-0.2966, -0.2982
0.19919716, 0.29732186;0.1993, 0.2985
0.39874917, 0.097484946;0.3987, 0.0968
0.20106809, 0.30074558;0.2009, 0.3017
-0.40082797, 0.2012782;-0.4013, 0.2001
-0.3935208, 0.39614683;-0.3923, 0.3966
-0.09720896, -0.098110594;-0.099, -0.0999
0.2010607, -0.20118086;0.2016, -0.201
-0.10120435, -0.1012808;-0.1033, -0.1028
0.09053543, -0.29422837;0.0904, -0.294
0.1968139, -0.19929646;0.1984, -0.2001
0.19777018, -0.19586955;0.1993, -0.1966
0.203385, -0.19418201;0.2043, -0.1946
0.09728483, -0.30065086;0.0971, -0.3007
-0.40172982, 0.39285642;-0.4, 0.3934
-0.09874893, -0.101275004;-0.1004, -0.1031
-0.100233786, -0.09892841;-0.1023, -0.1005
0.09745071, -0.29895338;0.0973, -0.2987
-0.09619008, -0.10525493;-0.0982, -0.1074
0.19634062, 0.30364937;0.1967, 0.3047
-0.39583942, 0.20127082;-0.3968, 0.2005
-0.39942193, 0.40498903;-0.3981, 0.4036
-0.40240273, 0.19855723;-0.4027, 0.1972
0.0053177136, 0.00549435;0.0045, 0.0083
-0.39978927, 0.40157512;-0.3986, 0.4012
-0.39647332, 0.40059912;-0.3957, 0.4005
-0.39948648, 0.19464734;-0.4004, 0.1937
-0.39831185, 0.39526287;-0.3972, 0.3959
-0.09581171, -0.1009769;-0.0978, -0.1026
-0.10353176, -0.09713491;-0.1057, -0.0986
-0.29968232, -0.2983337;-0.2989, -0.2993
0.2041715, -0.20209163;0.2046, -0.2017
0.19794668, -0.19767146;0.1996, -0.1985
-0.39611554, 0.40348592;-0.3953, 0.4025
-0.24926808, 0.25079075;-0.2504, 0.2491
-0.40049827, 0.39777136;-0.3989, 0.3981
-0.39504474, 0.20287739;-0.3959, 0.2018
-7.4443716E-4, -0.00461806;-0.0014, -0.0024
0.09514632, -0.3083879;0.0953, -0.3082
-0.30003697, -0.2992211;-0.2994, -0.2999
-0.25571734, 0.24985895;-0.2565, 0.2486
0.0990859, -0.3024606;0.0994, -0.3022
0.09451175, -0.29614168;0.0943, -0.2955
-0.24798763, 0.2543624;-0.2495, 0.253
0.20040031, -0.19694537;0.2013, -0.1977
-0.10190709, -0.09994232;-0.104, -0.1015
0.19780898, -0.20035207;0.1991, -0.201
0.20237496, -0.20293851;0.2029, -0.2026
0.10006226, -0.3015347;0.1002, -0.3018
-0.302724, -0.3006664;-0.3025, -0.3014
-0.40199715, 0.20019749;-0.4024, 0.1988
0.20224877, -0.19624263;0.2031, -0.197
0.0012776885, 9.281797E-4;1.0E-4, 0.0027
-0.40249786, 0.20400938;-0.4029, 0.2029
0.40526697, 0.10171381;0.4053, 0.1012
0.10088522, -0.30074856;0.101, -0.3007
-0.25436676, 0.25448215;-0.2559, 0.254
-0.30238667, -0.29680705;-0.3026, -0.2976
-0.30107322, -0.30268317;-0.3007, -0.3027
0.0016233431, -0.00352536;7.0E-4, -0.0016
0.20136629, 0.3013761;0.2014, 0.3024
0.39705473, 0.09594291;0.3968, 0.0955
-0.4057205, 0.40208873;-0.4033, 0.4014
0.39896598, 0.099277824;0.3986, 0.0985
-0.39805803, 0.40285727;-0.397, 0.4021
-0.40032846, 0.39611238;-0.3987, 0.3965
0.09465289, -0.29897672;0.0944, -0.2988
0.20175254, 0.30478048;0.2018, 0.3054
-0.0034596343, 0.003032677;-0.0047, 0.0057
0.10088091, -0.29210922;0.1012, -0.2915
0.19927873, 0.3055227;0.1993, 0.3061
-0.101452164, -0.09550652;-0.1032, -0.0966
-0.24996544, 0.24671172;-0.2509, 0.2451
0.400363, 0.10098243;0.4001, 0.1005
0.19588953, 0.3008863;0.1963, 0.3018
-0.39740917, 0.20060498;-0.3983, 0.1996
-0.397666, 0.19562289;-0.3991, 0.1945
-0.0017027534, 0.003058079;-0.0028, 0.0055
0.20004374, -0.2065756;0.2, -0.2064
-0.3936706, 0.40328735;-0.3935, 0.4021
