0.19821587, 0.29940185;0.1985, 0.3003
0.19574441, -0.19823088;0.1974, -0.1988
0.20260379, -0.19712338;0.2033, -0.1978
0.39802662, 0.09668264;0.3979, 0.0959
-0.4013755, 0.39893076;-0.3995, 0.3991
-0.0013502798, 6.806594E-4;-0.0025, 0.0028
0.20302878, 0.30169204;0.2032, 0.3026
-0.2502609, 0.24809927;-0.2509, 0.2464
0.1014194, -0.2941503;0.1017, -0.2936
-0.29958087, -0.30120644;-0.2991, -0.3016
-0.4025676, 0.20499885;-0.403, 0.2038
0.19211255, -0.19412144;0.1946, -0.1945
-0.10011383, -0.09800914;-0.102, -0.0995
-0.0017670237, -0.001186926;-0.0026, 6.0E-4
0.09968416, -0.30315807;0.1002, -0.3033
-0.40365645, 0.20195708;-0.4039, 0.2008
0.19252211, -0.20041753;0.1943, -0.2011
0.0019837192, 0.0028288704;0.001, 0.0048
-0.29237524, -0.2974772;-0.2924, -0.2987
-0.25150174, 0.2529016;-0.2522, 0.2516
0.39659247, 0.10240436;0.3963, 0.102
-0.1056992, -0.091565795;-0.1076, -0.0931
-0.39911157, 0.39822403;-0.3983, 0.3983
0.40377572, 0.094646916;0.4035, 0.0938
-0.0015577101, -0.0014401673;-0.0026, 4.0E-4
-0.30332944, -0.30042037;-0.3031, -0.3012
0.20333639, -0.20176648;0.204, -0.2014
-0.30026132, -0.30344272;-0.2999, -0.3035
-0.2963129, -0.29973325;-0.2957, -0.3004
-0.09838594, -0.09689226;-0.1006, -0.0985
-0.10036033, -0.09755162;-0.1022, -0.0992
-0.30569738, -0.300889;-0.3062, -0.3018
0.20204008, -0.1987024;0.2028, -0.1991
0.19848107, -0.20306912;0.1988, -0.2031
0.20194049, 0.2984205;0.2018, 0.2995
-0.095846966, -0.102257505;-0.0977, -0.104
-0.39499137, 0.20043394;-0.3959, 0.1997
-0.24437223, 0.24584904;-0.2457, 0.2442
0.3943028, 0.102813795;0.3941, 0.1026
-0.30166727, -0.29777396;-0.3014, -0.299
-0.25040504, 0.24707493;-0.2512, 0.2458
0.40599722, 0.100554734;0.4057, 0.0999
0.40353498, 0.10443453;0.4035, 0.1042
-0.09818907, -0.10512252;-0.1, -0.1072
0.19757144, 0.30206394;0.1976, 0.3029
-0.001547513, -0.0011295124;-0.0026, 8.0E-4
-0.39563105, 0.19793473;-0.3969, 0.197
-0.2500826, 0.25219157;-0.2509, 0.2505
0.19895458, 0.296879;0.1989, 0.2981
-0.3011361, -0.29514125;-0.3009, -0.2959
0.4045771, 0.09644909;0.4044, 0.0955
0.19940746, -0.19759467;0.2004, -0.1984
-0.40614438, 0.20197713;-0.4064, 0.2008
0.19927369, 0.3051085;0.1992, 0.3059
0.39921623, 0.09481102;0.3992, 0.0943
0.099863134, -0.2998648;0.1, -0.2997
-0.25090033, 0.24585037;-0.2515, 0.2441
-0.29643768, -0.29837638;-0.2957, -0.2994
-0.101474136, -0.09954377;-0.1035, -0.1013
0.10117128, -0.2975144;0.1011, -0.2968
-0.29559538, -0.30278313;-0.2952, -0.3028
-0.39668202, 0.39943016;-0.3959, 0.3995
0.19954598, 0.29627237;0.1993, 0.2978
-0.40233776, 0.40601742;-0.4008, 0.4041
-7.596823E-4, -0.0016861933;-0.0019, -3.0E-4
0.0014175024, -0.005625115;6.0E-4, -0.0035
-0.29900405, -0.30014727;-0.2984, -0.3005
-0.3984786, 0.4015911;-0.3972, 0.4013
0.1997016, -0.19743527;0.2004, -0.1983
0.40169564, 0.09884462;0.4019, 0.0979
0.2059083, 0.30168086;0.2062, 0.3027
0.0013644673, -0.0026925618;2.0E-4, -9.0E-4
-0.30063823, -0.30093926;-0.3002, -0.3013
0.20113821, -0.20650125;0.2012, -0.2061
0.09862723, -0.30251142;0.0988, -0.3022
-0.0983835, -0.10356371;-0.1001, -0.1055
-0.39314345, 0.19692996;-0.3939, 0.1964
-0.30363145, -0.2996224;-0.3038, -0.3001
0.20099369, -0.20189638;0.2016, -0.2017
-0.29966736, -0.30068082;-0.2994, -0.3011
-0.2551461, 0.24384598;-0.2559, 0.2415
-0.10132935, -0.09275202;-0.1035, -0.0948
0.2027272, 0.30366623;0.2027, 0.3044
0.40034148, 0.09761582;0.4003, 0.0965
-0.29136026, -0.30398396;-0.2917, -0.3037
0.10141754, -0.30090734;0.1019, -0.3011
-0.2509585, 0.25420767;-0.252, 0.2534
0.19935064, -0.20324482;0.1998, -0.2035
0.004651459, 0.003984055;0.0036, 0.0065
0.19880293, 0.29778898;0.1989, 0.2985
-0.25105247, 0.25150287;-0.2516, 0.2499
-0.3978203, 0.39825928;-0.3969, 0.3987
-0.29766634, -0.30102718;-0.2969, -0.3014
-0.24608824, 0.2509059;-0.2477, 0.2491
-0.3991747, 0.19952166;-0.3996, 0.1981
-0.24793312, 0.24670191;-0.2492, 0.2451
-0.097480334, -0.10272354;-0.0994, -0.1048
-0.39970213, 0.40583277;-0.3984, 0.404
0.20381151, -0.20218039;0.2043, -0.2019
-0.40199107, 0.19996755;-0.4022, 0.1985
-0.09935049, -0.10223003;-0.1014, -0.1044
0.0048011867, -3.8595885E-4;0.0038, 0.0016
-0.250562, 0.25339517;-0.2515, 0.2523
-0.29483873, -0.30461988;-0.2947, -0.3042
-0.30331877, -0.30185094;-0.3036, -0.3025
-0.29905304, -0.30574182;-0.2987, -0.3054
-3.0642265E-4, 0.0011614588;-0.0014, 0.0032
-0.30042356, -0.2996442;-0.2998, -0.3003
-0.3969436, 0.19905919;-0.3982, 0.1979
0.10606029, -0.30039912;0.1067, -0.3006
0.20176855, 0.30258897;0.2018, 0.3034
0.40059713, 0.10462507;0.4003, 0.1045
-0.29325098, -0.30200356;-0.2931, -0.302
0.20143653, -0.1977521;0.2024, -0.1983
0.20045541, 0.2959313;0.2003, 0.2974
0.4002932, 0.105864935;0.4003, 0.1057
-0.40390748, 0.20169452;-0.4044, 0.2005
-0.10331816, -0.10311237;-0.1055, -0.1051
0.19889122, 0.30466506;0.1989, 0.3055
0.19990629, -0.19767532;0.2009, -0.1985
-0.39853588, 0.4013455;-0.3973, 0.401
-0.09916277, -0.098998375;-0.1011, -0.1004
-0.39808586, 0.20236959;-0.3987, 0.2014
0.397827, 0.10189464;0.3975, 0.1015
0.0046812436, -2.6414518E-5;0.0037, 0.0021
-0.4037756, 0.2029449;-0.4043, 0.2019
0.19764051, -0.19997592;0.199, -0.2007
0.40391767, 0.101876944;0.4041, 0.1015
0.09778066, -0.29453486;0.0979, -0.2938
0.00305654, 0.0011877212;0.0021, 0.0033
0.20144431, 0.3038103;0.2012, 0.3046
4.5485896E-4, -8.4305083E-4;-5.0E-4, 0.0012
0.19899851, 0.2973575;0.199, 0.2984
0.10619743, -0.30150387;0.1074, -0.3018
0.0973923, -0.30216548;0.0969, -0.302
-0.4030428, 0.40508947;-0.4011, 0.4037
0.10885706, -0.30477867;0.109, -0.3053
-0.39405155, 0.39747757;-0.3928, 0.3977
-0.24037516, 0.25452837;-0.2413, 0.2529
0.10577327, -0.30390665;0.1067, -0.3046
-0.3004907, -0.297464;-0.2998, -0.2986
-0.398413, 0.40654778;-0.3974, 0.4044
0.19883901, -0.20068587;0.1997, -0.201
0.19663651, 0.29608715;0.1972, 0.2972
-0.103279315, -0.094644815;-0.1049, -0.0961
-0.2461085, 0.25046846;-0.2479, 0.2489
0.39999855, 0.10178952;0.3996, 0.1015
0.10319423, -0.29785937;0.1036, -0.2974
0.19636302, 0.30477244;0.1963, 0.3056
0.10024018, -0.3063446;0.1008, -0.3064
0.1972745, -0.19979651;0.1987, -0.2005
-0.10016383, -0.10367579;-0.1021, -0.1057
-0.1043953, -0.1014918;-0.1064, -0.1032
0.19868521, -0.20358972;0.1991, -0.2038
0.19987531, -0.19878621;0.2005, -0.1993
0.097889625, -0.3023263;0.0977, -0.302
0.1005619, -0.292368;0.1009, -0.2919
-0.40482262, 0.1967716;-0.4045, 0.1958
0.20187971, 0.29416025;0.202, 0.2955
6.637593E-6, 0.0025304225;-0.0013, 0.0045
-0.30152515, -0.30503988;-0.3016, -0.3052
0.20096445, 0.29551342;0.2009, 0.2969
-0.003214339, 4.3753497E-4;-0.0039, 0.0028
-0.003883043, 0.0032851663;-0.005, 0.0059
-0.39537668, 0.19316183;-0.3969, 0.192
-0.4012964, 0.40031353;-0.3997, 0.4001
-0.29927665, -0.30157954;-0.2987, -0.3017
-0.40216053, 0.40134263;-0.4, 0.4011
0.19930908, 0.30415392;0.1993, 0.305
0.101682335, -0.2939186;0.1021, -0.2933
-0.39878634, 0.401718;-0.3975, 0.4015
-0.29950297, -0.29666904;-0.2987, -0.2981
-0.4049261, 0.20464393;-0.4053, 0.2035
0.20464215, -0.20085055;0.2051, -0.2009
-0.30246446, -0.3019174;-0.3022, -0.3024
-0.103455916, -0.10292136;-0.1056, -0.1047
-0.25212637, 0.24627793;-0.2527, 0.2449
0.40394512, 0.09980106;0.4043, 0.0991
-0.40416434, 0.39720485;-0.4019, 0.3976
-0.2544941, 0.25435394;-0.256, 0.2539
-0.29971167, -0.29809117;-0.299, -0.2991
-0.39953828, 0.1973402;-0.4004, 0.1959
0.19590102, -0.20197989;0.197, -0.2028
0.10090576, -0.30004722;0.1012, -0.3
-0.40058652, 0.20313533;-0.401, 0.202
-0.402714, 0.39928013;-0.4005, 0.3994
-0.39798874, 0.20233046;-0.3986, 0.2014
0.20223983, 0.2989975;0.2025, 0.2999
-0.29782575, -0.29785314;-0.297, -0.299
0.10269398, -0.29998136;0.1031, -0.2999
-0.0025812162, -0.0033439836;-0.0034, -0.0013
-0.39553902, 0.39431465;-0.3944, 0.3948
-0.2469197, 0.25059667;-0.2487, 0.2489
-0.39697233, 0.39760828;-0.3962, 0.398
-0.24838516, 0.25009325;-0.2495, 0.2482
0.19660527, -0.20118883;0.1979, -0.2019
0.20409542, 0.2975707;0.2041, 0.2988
-0.29701334, -0.3028118;-0.2963, -0.3029
0.40403816, 0.10428753;0.4039, 0.104
-0.24729612, 0.2459338;-0.2486, 0.2441
-6.833787E-4, -0.006064441;-0.0013, -0.0036
0.20459738, -0.20330572;0.205, -0.203
0.2023781, 0.30168045;0.2027, 0.3026
-0.30129522, -0.2959568;-0.3011, -0.297
-0.39919394, 0.4015433;-0.3979, 0.4011
-0.095821254, -0.10052855;-0.0978, -0.1019
-0.4055798, 0.20074426;-0.4058, 0.1997
0.20121753, 0.30016923;0.2011, 0.3009
0.39365172, 0.10178684;0.3935, 0.1014
0.09418303, -0.3008116;0.0939, -0.3008
-0.39961472, 0.20342633;-0.4001, 0.2022
0.1999482, 0.30213252;0.2, 0.3031
-0.4015831, 0.19931395;-0.402, 0.198
0.20392773, 0.30365726;0.2042, 0.3045
-0.39921612, 0.20208932;-0.3998, 0.2013
-0.0036600018, 0.0013041453;-0.0048, 0.0037
-0.0034005952, 0.0018641836;-0.0046, 0.0044
-0.40096128, 0.40060046;-0.3994, 0.4004
-0.4047538, 0.40377203;-0.4022, 0.4032
0.09947458, -0.292315;0.0995, -0.2915
-0.25131083, 0.24852732;-0.2519, 0.2469
0.003461293, 0.0027151962;0.0026, 0.0046
0.006775498, -0.001893183;0.0059, 3.0E-4
7.290449E-5, -5.094566E-4;-0.001, 0.0016
0.00497468, 1.2175286E-4;0.0039, 0.0022
0.2018174, 0.2955791;0.202, 0.2969
0.19412518, 0.30458304;0.1944, 0.3057
0.005018872, 0.0019496805;0.0038, 0.0044
-0.39564306, 0.19704132;-0.397, 0.1959
0.19686492, 0.29988125;0.1975, 0.3009
0.20328097, 0.29825273;0.2033, 0.2994
0.0033160753, 0.0019014842;0.0024, 0.0042
0.20363022, 0.30006042;0.2038, 0.301
0.40335917, 0.097322196;0.4034, 0.0964
-0.253243, 0.2536617;-0.2543, 0.2532
0.20078957, -0.19543485;0.2018, -0.1963
0.09493126, -0.29685512;0.0949, -0.2964
-0.0027427971, 0.0023146218;-0.004, 0.0048
-0.24905048, 0.2514964;-0.2504, 0.2499
-0.3964049, 0.39863414;-0.3957, 0.3989
-0.24773486, 0.24396373;-0.2488, 0.2422
0.0036812623, 4.5709786E-4;0.0028, 0.0025
0.1050345, -0.2984033;0.1055, -0.2981
-0.24810702, 0.25338805;-0.2494, 0.2517
-0.404407, 0.40498254;-0.4023, 0.4039
0.19884141, 0.30515704;0.1989, 0.3059
-0.40126672, 0.3933568;-0.3998, 0.3937
0.0017035864, 0.0034256794;6.0E-4, 0.0056
-0.24927762, 0.24682735;-0.2504, 0.2455
0.20238097, -0.200608;0.2028, -0.2005
0.0026105994, 6.3413626E-4;0.0015, 0.0029
-0.39819846, 0.19944696;-0.3992, 0.1983
-0.10490484, -0.10661431;-0.107, -0.1088
0.0019268434, -0.003534973;8.0E-4, -0.0017
0.19611414, 0.29974854;0.1966, 0.3006
-0.25090685, 0.25163192;-0.2515, 0.2499
0.40092084, 0.10312332;0.4007, 0.1029
0.20099574, -0.1960066;0.2019, -0.1966
-0.24525343, 0.24906936;-0.2469, 0.2472
-0.4030877, 0.19764745;-0.4031, 0.1965
0.10478996, -0.29396796;0.1052, -0.2931
-0.39783457, 0.19862232;-0.3991, 0.1975
-0.29798815, -0.30091065;-0.2973, -0.3012
0.39740944, 0.097525924;0.3972, 0.0967
-0.30085367, -0.29684213;-0.3004, -0.2979
0.20430939, 0.29730704;0.2043, 0.2985
-0.2507053, 0.2475954;-0.2514, 0.2461
0.4032368, 0.09864351;0.4034, 0.0977
-0.3991105, 0.20634606;-0.3992, 0.2045
0.20024918, 0.30668223;0.2003, 0.3072
-0.10224681, -0.0979705;-0.1043, -0.0997
-0.4008989, 0.39610678;-0.3991, 0.3965
-0.09758646, -0.10240553;-0.0994, -0.1043
0.39833352, 0.10260324;0.398, 0.1022
0.4040482, 0.1019583;0.4045, 0.1015
0.0019498814, -0.0019547055;7.0E-4, -2.0E-4
0.3998752, 0.09660772;0.3997, 0.0958
0.40014032, 0.100855604;0.3996, 0.1003
-0.40283826, 0.40278688;-0.4006, 0.402
-0.3010839, -0.30420932;-0.3009, -0.3043
0.20126297, -0.20034316;0.2018, -0.2004
-0.3988828, 0.19739474;-0.3998, 0.1959
-0.100622796, -0.10459371;-0.1027, -0.1069
0.202783, 0.29773948;0.2029, 0.2988
0.10493977, -0.30110258;0.1053, -0.3012
-0.40319073, 0.4034114;-0.4012, 0.4025
0.1991639, 0.2991729;0.1994, 0.3003
0.0045783045, -0.0029160578;0.0034, -0.0011
-0.2487665, 0.24830817;-0.2502, 0.2467
0.19666484, 0.29378834;0.1969, 0.2952
-0.004854144, 3.0201848E-4;-0.0059, 0.0027
0.20460333, -0.19763373;0.205, -0.1981
-0.40423113, 0.20535819;-0.4045, 0.2042
0.39499873, 0.102542065;0.3947, 0.1023
-0.2555273, 0.25166363;-0.2565, 0.2511
-0.3079704, -0.30303836;-0.3086, -0.3041
-0.40165874, 0.20024037;-0.4022, 0.1989
-0.40079632, 0.20150542;-0.4012, 0.2003
-0.25366628, 0.24947819;-0.2543, 0.2479
0.4050777, 0.10199189;0.4053, 0.1013
-0.40022698, 0.19964172;-0.4009, 0.1984
0.19690318, 0.30241492;0.1971, 0.3034
-0.4020053, 0.1939477;-0.4018, 0.193
-0.24717076, 0.24893811;-0.2489, 0.2475
0.2049625, 0.30094066;0.2051, 0.3021
-0.2568243, 0.24796134;-0.2574, 0.2466
-0.10635041, -0.102649726;-0.1083, -0.1046
-0.402458, 0.39847973;-0.4004, 0.3988
0.10378147, -0.30325526;0.1046, -0.3039
-0.09806015, -0.096639134;-0.1002, -0.0981
-0.3996473, 0.39680985;-0.3984, 0.3974
0.19690813, -0.19730233;0.1985, -0.198
-0.24431825, 0.24746418;-0.2458, 0.2456
0.20131683, -0.20216928;0.2018, -0.2019
0.398872, 0.09820793;0.3988, 0.0974
-0.096775316, -0.10002805;-0.0984, -0.1017
-0.30291054, -0.2978937;-0.3028, -0.2986
0.09809198, -0.30222785;0.0979, -0.3019
0.19982393, -0.19796896;0.2005, -0.1989
-0.39742088, 0.19686483;-0.3988, 0.1954
-0.3000451, -0.30752042;-0.3007, -0.3076
-0.24741268, 0.24868141;-0.2489, 0.2473
0.10292543, -0.29677367;0.1033, -0.296
0.19720103, 0.29899973;0.1976, 0.2998
-0.0039985115, 0.0022110972;-0.0053, 0.0048
-0.39890355, 0.20898585;-0.3992, 0.2073
-4.7879526E-4, -0.002632174;-0.0016, -7.0E-4
-0.09534477, -0.0956981;-0.0974, -0.0974
-0.39889005, 0.20181249;-0.3994, 0.2008
0.10133983, -0.2987664;0.1015, -0.2985
-0.24844119, 0.24860686;-0.2497, 0.2472
-0.105196826, -0.10346293;-0.1071, -0.1053
0.0030013248, -5.1058916E-5;0.0019, 0.0021
0.3972919, 0.09780213;0.3971, 0.0971
0.20286739, 0.29403117;0.2029, 0.2952
-0.25241104, 0.25312597;-0.2533, 0.2521
-0.3036695, -0.30367002;-0.304, -0.3041
0.20213899, -0.19968823;0.2028, -0.1998
-0.40308756, 0.1960429;-0.4029, 0.195
-0.40204236, 0.19991139;-0.4022, 0.1985
-0.39964926, 0.40023044;-0.3985, 0.4001
-0.25214544, 0.24770916;-0.2525, 0.2461
-0.3995007, 0.39368942;-0.3982, 0.3941
7.56194E-4, -0.0033424462;-1.0E-4, -0.0014
0.401829, 0.09666231;0.4016, 0.0955
0.19636117, -0.19938624;0.1981, -0.2003
0.19330649, 0.30105445;0.194, 0.3025
-0.3995274, 0.39432454;-0.3982, 0.3947
-0.29890528, -0.2942514;-0.2983, -0.2948
-6.9855334E-4, -9.089603E-4;-0.0019, 0.0011
-0.40352643, 0.401699;-0.4013, 0.4016
0.19717957, 0.3036018;0.1972, 0.3045
0.4006164, 0.10209182;0.4002, 0.1019
0.19876051, -0.1958075;0.1999, -0.1966
0.19792278, 0.29713392;0.1984, 0.2982
-0.3002071, -0.3087872;-0.3009, -0.3086
4.994155E-4, 0.004229076;-8.0E-4, 0.0073
-0.39967665, 0.4007292;-0.3985, 0.4003
-0.24697307, 0.25313643;-0.2488, 0.2516
-0.29940665, -0.2940896;-0.2988, -0.2946
0.39447537, 0.09719301;0.394, 0.0964
-0.39510748, 0.40116552;-0.3947, 0.4008
7.014649E-5, -2.4593255E-4;-9.0E-4, 0.002
0.0984302, -0.30108103;0.0984, -0.3011
-0.40050536, 0.1967109;-0.401, 0.1953
-0.29743028, -0.30219126;-0.2965, -0.3024
0.098864645, -0.300416;0.0989, -0.3004
-0.001542502, -0.0025541093;-0.0022, -6.0E-4
0.39518228, 0.10186295;0.3948, 0.1017
-0.10540261, -0.09838777;-0.1073, -0.1001
-0.40527776, 0.4044264;-0.403, 0.4037
-0.3078357, -0.2994124;-0.308, -0.3003
-0.09621932, -0.10275406;-0.0982, -0.1046
-0.3023331, -0.30249175;-0.3025, -0.3028
-0.09348651, -0.09231838;-0.0952, -0.0943
-0.25120413, 0.2539443;-0.2521, 0.2532
0.4065018, 0.10685966;0.4061, 0.1065
-0.24546593, 0.25199968;-0.247, 0.2502
-0.30163035, -0.3056426;-0.302, -0.3059
0.20644347, -0.20407458;0.2065, -0.2036
-0.29530808, -0.3021211;-0.2947, -0.3021
0.10044739, -0.29666662;0.1005, -0.296
-0.3035882, -0.30119306;-0.3039, -0.302
-0.4072346, 0.40215924;-0.4046, 0.4017
-0.4048029, 0.39790076;-0.4022, 0.3983
-0.40551153, 0.19548644;-0.405, 0.1947
0.19529234, -0.1945267;0.1971, -0.195
-0.0020035626, -0.003542214;-0.0027, -0.0014
0.102790445, -0.29601598;0.103, -0.2952
-0.25239125, 0.2496961;-0.253, 0.2481
-0.30420998, -0.30067694;-0.3045, -0.3014
-0.39486128, 0.19869955;-0.3958, 0.1977
-0.4027106, 0.20113796;-0.403, 0.2
0.1979105, -0.20547499;0.1982, -0.2054
-0.10135948, -0.101861455;-0.1034, -0.1037
-0.29689258, -0.3006674;-0.2959, -0.3007
-0.24457118, 0.25133064;-0.2461, 0.2496
0.40536603, 0.09892872;0.405, 0.0985
0.0035643498, 0.0015085133;0.0025, 0.0038
0.10555233, -0.2987561;0.106, -0.2982
-0.0045824563, 0.004284304;-0.006, 0.0072
0.1927871, -0.20193982;0.1945, -0.2029
0.0027953207, -0.006124326;0.0015, -0.0036
-0.40853593, 0.19829908;-0.4082, 0.1981
-0.30359447, -0.30600065;-0.3041, -0.3064
-0.30504617, -0.29436502;-0.3052, -0.2952
0.0040799943, -0.005499557;0.0028, -0.003
-0.3971843, 0.3944261;-0.3962, 0.395
0.40673825, 0.09902044;0.4061, 0.099
0.10221902, -0.2995357;0.1026, -0.2996
-0.40314615, 0.40624124;-0.4016, 0.4047
-0.24729298, 0.25044152;-0.2489, 0.2487
0.39351213, 0.09940294;0.3932, 0.0987
0.0055704056, -0.0019037245;0.0045, -1.0E-4
0.19941549, -0.19820826;0.2004, -0.1991
-0.2964683, -0.2987603;-0.2958, -0.2996
